Name	SMILES	ClusterNumber
58267792	COCCOc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C5CCCC5)on4)c3)c2cc1OC	1
58267763	COc1cc2c(Oc3cccc(NC(=O)Nc4cc(C(C)(C)F)no4)c3)ncnc2cc1OCCN1CCOCC1	1
56954309	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cnn(C(C)(C)C)c4)c3)c2cc1OC	1
44243006	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(F)(F)F)no4)c3)c2cc1OC	1
121479956	COc1cc2ncnc(Oc3cccc(NC(=O)NC4=CC(C(C)(C)CO)=CC4)c3)c2cc1OC	1
56846693	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3)c2cc1OC	1
58267789	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3F)c2cc1OC	1
44243183	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccccc4)c3C)c2cc1OC	1
44243227	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccccc4)c3F)c2cc1OC	1
56675936	COc1cc2ncnc(Oc3ccc(Cl)c(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OC	1
58267971	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4cnccc4C)c3)c2cc1OC	1
58267746	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4cccnc4C)c3)c2cc1OC	1
58267958	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C#N)nn4-c4ccccc4)c3)c2cc1OC	1
58267815	COc1cc2nc(Cl)nc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OC	1
44243264	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(C)nc4)c3)c2cc1OC	1
76750541	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4cc[nH]c(=O)c4)c3)c2cc1OC	1
58267874	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)C)nn4-c4cncc(F)c4)c3)c2cc1OC	1
58267913	COc1ccc(-n2nc(C(C)(F)F)cc2NC(=O)Nc2cccc(Oc3ncnc4cc(OC)c(OC)cc34)c2)cc1	1
58267790	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(F)F)nn4-c4cncc(F)c4)c3)c2cc1OC	1
76750540	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(=O)[nH]c4)c3)c2cc1OC	1
58267858	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(F)F)nn4-c4ccccc4)c3)c2cc1OC	1
58267743	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(F)F)nn4-c4ccccc4)c3)c2cc1OC	1
44243226	CCn1nc(C(C)(C)C)cc1NC(=O)Nc1cccc(Sc2ncnc3cc(OC)c(OC)cc23)c1	1
44243224	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4cccnc4)c3)c2cc1OC	1
58267882	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4cccnc4)c3)c2cc1OC	1
58267787	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)C)nn4-c4ccccc4)c3)c2cc1OC	1
58267956	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4cncc(F)c4)c3)c2cc1OC	1
58267768	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4cncc(F)c4)c3)c2cc1OC	1
44243182	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(C#N)cc4)c3)c2cc1OC	1
58267802	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4C4CCCCC4)c3)c2cc1OC	1
